Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,Day_Of_Week,Year,Month,Day,Hour,Minute,WeekStatus_Weekend,Load_Type
3.1,6.05,0,0,45.6,100,13500,2,2018,10,16,3,45,0,0
3.46,6.26,0,0,48.37,100,6300,5,2018,10,5,1,45,0,0
5.94,5.65,0,0,72.46,100,900,3,2018,2,28,0,15,0,0
2.7,4.36,0,0,52.65,100,21600,3,2018,7,18,6,0,0,0
37.44,27.9,0,0.02,80.18,100,3600,0,2018,1,21,1,0,1,0
3.1,6.37,0,0,43.76,100,23400,1,2018,9,24,6,30,0,0
3.31,4.1,0,0,62.82,100,18000,4,2018,6,14,5,0,0,0
3.31,5.4,0,0,52.26,100,8100,4,2018,6,7,2,15,0,0
2.66,4.18,0,0,53.69,100,1800,4,2018,7,26,0,30,0,0
3.42,6.62,0,0,45.9,100,18000,6,2018,7,28,5,0,1,0
3.06,1.8,0.5,0,86.19,98.69,9000,5,2018,11,23,2,30,0,0
42.59,31.39,0,0.02,80.5,100,13500,3,2018,1,24,3,45,0,0
3.67,3.96,0,0,67.97,100,4500,4,2018,4,26,1,15,0,0
3.78,5.76,0,0,54.87,100,11700,1,2018,1,8,3,15,0,0
3.42,4.57,0,0,59.92,100,11700,4,2018,6,14,3,15,0,0
3.24,4.25,0,0,60.63,100,12600,2,2018,4,24,3,30,0,0
2.92,5.29,0,0,48.33,100,23400,2,2018,7,24,6,30,0,0
36.97,31.39,0,0.02,76.23,100,30600,6,2018,3,24,8,30,1,0
2.52,4.25,0,0,51,100,85500,6,2018,9,29,23,45,1,0
2.99,4.68,0,0,53.84,100,13500,4,2018,10,18,3,45,0,0
3.17,6.3,0,0,44.95,100,23400,3,2018,8,8,6,30,0,0
3.31,3.78,0,0,65.88,100,22500,3,2018,3,21,6,15,0,0
3.6,5.98,0,0,51.58,100,10800,3,2018,10,31,3,0,0,0
2.56,5.11,0,0,44.79,100,15300,0,2018,9,23,4,15,1,0
2.92,5.36,0,0,47.84,100,11700,4,2018,5,31,3,15,0,0
3.13,5.98,0,0,46.37,100,3600,3,2018,8,8,1,0,0,0
2.95,5.87,0,0,44.9,100,8100,0,2018,6,3,2,15,1,0
58.72,46.91,0,0.03,78.13,100,31500,5,2018,11,16,8,45,0,0
3.1,4.75,0,0,54.65,100,6300,3,2018,6,13,1,45,0,0
3.38,6.52,0,0,46.02,100,20700,5,2018,10,5,5,45,0,0
3.31,5.11,0,0,54.37,100,15300,6,2018,11,3,4,15,1,0
3.6,3.92,0,0,67.64,100,13500,6,2018,4,21,3,45,1,0
2.66,5.44,0,0,43.93,100,18900,4,2018,9,27,5,15,0,0
3.56,4.86,0,0,59.09,100,0,2,2018,6,5,0,0,0,0
3.13,5.54,0,0,49.19,100,11700,3,2018,6,6,3,15,0,0
2.84,5.04,0,0,49.09,100,5400,0,2018,10,14,1,30,1,0
3.35,4.82,0,0,57.07,100,900,6,2018,6,30,0,15,1,0
2.74,3.82,0,0,58.28,100,9000,1,2018,7,9,2,30,0,0
3.28,5.29,0,0,52.7,100,24300,3,2018,5,16,6,45,0,0
3.06,4.32,0,0,57.8,100,24300,6,2018,5,12,6,45,1,0
3.02,3.42,0,0,66.19,100,15300,4,2018,5,10,4,15,0,0
3.28,3.67,0,0,66.64,100,10800,3,2018,3,28,3,0,0,0
50.65,46.3,0,0.02,73.81,100,30600,5,2018,11,16,8,30,0,0
3.2,4.54,0,0,57.61,100,900,3,2018,8,1,0,15,0,0
4.46,4.93,0,0,67.09,100,7200,0,2018,2,11,2,0,1,0
2.81,4.28,0,0,54.88,100,9900,0,2018,7,8,2,45,1,0
2.77,5.26,0,0,46.6,100,83700,4,2018,8,30,23,15,0,0
2.77,3.64,0,0,60.56,100,3600,1,2018,7,9,1,0,0,0
2.74,3.71,0,0,59.41,100,14400,1,2018,7,9,4,0,0,0
3.74,3.17,0,0,76.28,100,6300,4,2018,11,22,1,45,0,0
3.17,4.54,0,0,57.25,100,10800,5,2018,3,16,3,0,0,0
3.31,4.79,0,0,56.85,100,81900,0,2018,2,18,22,45,1,0
2.99,5.9,0,0,45.2,100,13500,0,2018,6,3,3,45,1,0
3.82,3.17,0,0,76.95,100,5400,4,2018,11,22,1,30,0,0
3.89,3.53,0,0,74.05,100,6300,1,2018,2,26,1,45,0,0
6.66,7.52,0,0,66.3,100,27000,1,2018,4,30,7,30,0,0
55.12,37.69,0,0.03,82.55,100,32400,5,2018,6,8,9,0,0,0
3.67,4.5,0,0,63.2,100,8100,3,2018,3,28,2,15,0,0
2.88,3.74,0,0,61.01,100,17100,6,2018,5,5,4,45,1,0
2.95,5.47,0,0,47.47,100,23400,2,2018,9,18,6,30,0,0
2.66,5.18,0,0,45.68,100,11700,1,2018,10,8,3,15,0,0
3.35,4.18,0,0,62.54,100,22500,4,2018,11,1,6,15,0,0
3.89,5.04,0,0,61.1,100,900,4,2018,3,22,0,15,0,0
4.03,6.05,0,0,55.44,100,0,3,2018,3,14,0,0,0,0
5.47,5.51,0,0,70.45,100,27000,3,2018,2,28,7,30,0,0
3.28,3.17,0,0,71.91,100,26100,5,2018,11,30,7,15,0,0
2.92,2.84,0,0,71.69,100,16200,2,2018,4,10,4,30,0,0
3.64,2.41,0.32,0,83.38,99.62,28800,1,2018,12,31,8,0,0,0
3.42,4.68,0,0,59,100,0,4,2018,6,7,0,0,0,0
2.7,5.22,0,0,45.94,100,17100,4,2018,8,16,4,45,0,0
3.17,4.82,0,0,54.95,100,4500,5,2018,7,6,1,15,0,0
3.13,6.88,0,0,41.41,100,14400,0,2018,9,23,4,0,1,0
66.67,37.76,0,0.03,87.01,100,3600,3,2018,1,31,1,0,0,0
42.62,35.14,0,0.02,77.16,100,29700,1,2018,3,12,8,15,0,0
3.82,5.08,0,0,60.1,100,9900,1,2018,3,12,2,45,0,0
2.56,4.86,0,0,46.6,100,900,2,2018,9,11,0,15,0,0
3.06,3.82,0,0,62.52,100,15300,3,2018,4,4,4,15,0,0
3.02,5.65,0,0,47.14,100,5400,5,2018,6,22,1,30,0,0
3.64,4.75,0,0,60.83,100,900,6,2018,5,19,0,15,1,0
2.59,4.07,0,0,53.69,100,11700,2,2018,8,28,3,15,0,0
3.13,4.5,0,0,57.1,100,4500,0,2018,7,29,1,15,1,0
2.88,6.08,0,0,42.81,100,21600,2,2018,8,14,6,0,0,0
4.61,4.64,0,0,70.48,100,22500,4,2018,1,4,6,15,0,0
2.66,4.14,0,0,54.06,100,84600,1,2018,8,27,23,30,0,0
2.88,4.18,0,0,56.74,100,84600,0,2018,11,18,23,30,1,0
2.84,4,0,0,57.89,100,6300,0,2018,7,1,1,45,1,0
34.45,30.38,0,0.02,75,100,30600,6,2018,4,28,8,30,1,0
2.74,3.71,0,0,59.41,100,7200,6,2018,3,31,2,0,1,0
3.71,4.64,0,0,62.45,100,19800,0,2018,4,15,5,30,1,0
3.96,6.01,0,0,55.02,100,4500,4,2018,2,15,1,15,0,0
2.56,4.64,0,0,48.31,100,5400,0,2018,10,7,1,30,1,0
3.24,5.62,0,0,49.95,100,18000,3,2018,5,23,5,0,0,0
2.74,4.72,0,0,50.2,100,84600,2,2018,8,14,23,30,0,0
4.07,5.08,0.14,0,62.53,99.94,31500,6,2018,1,6,8,45,1,0
4.57,3.06,0.14,0,83.09,99.95,0,1,2018,12,17,0,0,0,0
3.89,5.47,0,0,57.95,100,5400,1,2018,3,12,1,30,0,0
4.46,6.12,0,0,58.9,100,0,1,2018,3,12,0,0,0,0
3.06,5.94,0,0,45.8,100,12600,6,2018,10,6,3,30,1,0
3.28,3.92,0,0,64.17,100,8100,1,2018,6,18,2,15,0,0
2.81,5.36,0,0,46.43,100,18900,0,2018,7,15,5,15,1,0
4.28,6.12,0,0,57.31,100,85500,4,2018,9,13,23,45,0,0
3.92,3.28,0,0,76.69,100,21600,1,2018,1,22,6,0,0,0
3.24,2.27,0.14,0,81.9,99.91,10800,2,2018,12,25,3,0,0,0
4.07,5.15,0,0,62,100,27900,6,2018,7,21,7,45,1,0
2.99,5.54,0,0,47.5,100,24300,3,2018,6,6,6,45,0,0
2.66,4.97,0,0,47.19,100,84600,0,2018,9,16,23,30,1,0
2.63,3.85,0,0,56.41,100,85500,5,2018,8,17,23,45,0,0
2.99,3.49,0,0,65.06,100,85500,0,2018,4,8,23,45,1,0
3.74,1.91,0.65,0,89.06,98.52,85500,4,2018,12,27,23,45,0,0
2.66,4.39,0,0,51.82,100,4500,0,2018,8,26,1,15,1,0
4.14,4.03,0,0,71.66,100,0,6,2018,1,27,0,0,1,0
3.02,3.28,0,0,67.73,100,84600,0,2018,3,25,23,30,1,0
5.08,3.06,0,0,85.66,100,10800,6,2018,12,1,3,0,1,0
5.18,7.96,0,0,54.54,100,27900,3,2018,8,8,7,45,0,0
3.92,2.59,0.07,0,83.43,99.98,21600,4,2018,12,20,6,0,0,0
2.99,4.25,0,0,57.54,100,18000,0,2018,5,6,5,0,1,0
3.85,3.2,0,0,76.9,100,18900,0,2018,1,14,5,15,1,0
2.84,3.53,0,0,62.68,100,30600,6,2018,5,5,8,30,1,0
4.1,3.82,0,0,73.16,100,28800,1,2018,3,5,8,0,0,0
42.62,30.28,0,0.02,81.52,100,29700,3,2018,1,31,8,15,0,0
5.18,7.2,0,0,58.4,100,28800,4,2018,8,16,8,0,0,0
4,6.84,0,0,50.48,100,3600,6,2018,11,17,1,0,1,0
3.13,5.83,0,0,47.3,100,8100,5,2018,11,2,2,15,0,0
43.31,43.42,0,0.02,70.62,100,30600,3,2018,7,18,8,30,0,0
3.17,2.2,0.32,0,82.15,99.49,20700,2,2018,11,20,5,45,0,0
3.02,3.71,0,0,63.13,100,26100,3,2018,7,4,7,15,0,0
5.15,5.76,0,0,66.65,100,23400,3,2018,2,14,6,30,0,0
4.14,3.56,0.04,0,75.82,100,1800,3,2018,12,12,0,30,0,0
3.49,2.81,0,0,77.89,100,20700,0,2018,12,23,5,45,1,0
3.13,5.94,0,0,46.62,100,28800,3,2018,10,3,8,0,0,0
3.02,4.86,0,0,52.78,100,26100,5,2018,9,7,7,15,0,0
2.92,3.64,0,0,62.57,100,0,6,2018,6,30,0,0,1,0
2.95,4.86,0,0,51.89,100,85500,5,2018,8,31,23,45,0,0
3.38,4.68,0,0,58.55,100,27900,5,2018,5,18,7,45,0,0
3.1,5.4,0,0,49.79,100,14400,2,2018,6,12,4,0,0,0
2.88,4.18,0,0,56.74,100,84600,0,2018,4,29,23,30,1,0
3.35,5.26,0,0,53.72,100,27000,0,2018,5,27,7,30,1,0
5.58,2.84,0.29,0,89.12,99.87,27900,2,2018,12,18,7,45,0,0
2.63,4.64,0,0,49.31,100,85500,0,2018,8,19,23,45,1,0
40.39,39.2,0,0.02,71.76,100,30600,6,2018,7,21,8,30,1,0
3.2,1.87,0.36,0,86.34,99.37,27000,4,2018,12,27,7,30,0,0
4,3.42,0,0,76.01,100,20700,5,2018,2,9,5,45,0,0
3.56,4.97,0,0,58.23,100,7200,4,2018,11,15,2,0,0,0
59.69,33.95,0,0.03,86.92,100,900,6,2018,1,20,0,15,1,0
3.13,4.82,0,0,54.46,100,27000,2,2018,5,1,7,30,0,0
3.02,5.33,0,0,49.3,100,6300,2,2018,6,12,1,45,0,0
3.74,6.91,0,0,47.6,100,25200,3,2018,10,24,7,0,0,0
2.99,3.56,0,0,64.31,100,11700,5,2018,4,20,3,15,0,0
3.2,4.1,0,0,61.53,100,18900,2,2018,4,17,5,15,0,0
96.41,63.36,0,0.04,83.57,100,32400,2,2018,7,24,9,0,0,0
5.15,5.11,0,0,70.99,100,14400,3,2018,2,14,4,0,0,0
3.35,5.87,0,0,49.57,100,27900,5,2018,6,8,7,45,0,0
72.61,36.36,0,0.03,89.42,100,32400,2,2018,2,27,9,0,0,0
3.56,4.82,0,0,59.41,100,0,1,2018,6,4,0,0,0,0
2.95,5.8,0,0,45.34,100,26100,5,2018,10,19,7,15,0,0
3.71,3.92,0,0,68.74,100,7200,2,2018,11,20,2,0,0,0
34.92,21.06,0,0.02,85.63,100,29700,6,2018,1,20,8,15,1,0
95.18,44.6,0,0.04,90.55,100,32400,3,2018,11,14,9,0,0,0
2.95,4.64,0,0,53.65,100,12600,1,2018,5,14,3,30,0,0
3.92,2.45,0.54,0,84.8,99.06,0,3,2018,12,19,0,0,0,0
3.89,5.29,0,0,59.24,100,83700,3,2018,10,31,23,15,0,0
3.24,6.23,0,0,46.14,100,0,1,2018,10,8,0,0,0,0
4.46,5.18,0,0,65.25,100,7200,5,2018,4,20,2,0,0,0
3.13,3.46,0,0,67.09,100,16200,1,2018,3,12,4,30,0,0
3.38,2.7,0,0,78.13,100,17100,0,2018,12,16,4,45,1,0
3.96,3.13,0.18,0,78.45,99.9,4500,5,2018,12,21,1,15,0,0
2.7,5.29,0,0,45.46,100,6300,2,2018,9,4,1,45,0,0
2.92,5.83,0,0,44.78,100,19800,4,2018,9,6,5,30,0,0
7.13,4.68,0,0,83.6,100,27900,1,2018,2,5,7,45,0,0
4.61,4.68,0,0,70.18,100,8100,1,2018,1,15,2,15,0,0
2.63,4.93,0,0,47.07,100,3600,6,2018,9,15,1,0,1,0
3.49,3.28,0,0,72.87,100,20700,4,2018,11,22,5,45,0,0
3.56,3.6,0,0,70.31,100,22500,2,2018,12,4,6,15,0,0
2.66,3.78,0,0,57.55,100,83700,3,2018,7,25,23,15,0,0
3.78,4.82,0,0,61.71,100,7200,2,2018,1,2,2,0,0,0
3.2,5.33,0,0,51.47,100,18000,5,2018,5,18,5,0,0,0
3.71,4.72,0,0,61.8,100,25200,2,2018,3,13,7,0,0,0
3.49,4.93,0,0,57.78,100,21600,1,2018,5,14,6,0,0,0
3.67,5.4,0,0,56.21,100,6300,1,2018,3,5,1,45,0,0
3.28,3.53,0,0,68.07,100,5400,2,2018,1,2,1,30,0,0
3.74,4.32,0,0,65.45,100,12600,4,2018,5,3,3,30,0,0
4.21,3.46,0.07,0,77.26,99.99,9900,5,2018,12,14,2,45,0,0
3.85,3.64,0,0,72.66,100,27900,1,2018,3,26,7,45,0,0
2.74,5.4,0,0,45.25,100,17100,1,2018,9,17,4,45,0,0
3.67,3.71,0,0,70.33,100,27900,4,2018,5,10,7,45,0,0
6.44,5.44,0,0,76.39,100,27000,4,2018,2,1,7,30,0,0
2.84,5,0,0,49.39,100,2700,3,2018,10,10,0,45,0,0
2.88,1.94,0.25,0,82.94,99.63,19800,2,2018,11,20,5,30,0,0
2.84,4.93,0,0,49.92,100,900,2,2018,7,3,0,15,0,0
4.18,2.59,0.4,0,85,99.55,27000,4,2018,12,20,7,30,0,0
2.63,4.9,0,0,47.29,100,23400,0,2018,8,19,6,30,1,0
2.92,5.4,0,0,47.57,100,9900,2,2018,10,2,2,45,0,0
2.52,4.64,0,0,47.73,100,22500,4,2018,8,30,6,15,0,0
3.82,3.56,0,0,73.16,100,10800,1,2018,12,10,3,0,0,0
29.3,31.36,0,0.01,68.27,100,29700,2,2018,9,4,8,15,0,0
3.1,5.29,0,0,50.56,100,900,0,2018,5,20,0,15,1,0
3.1,4.36,0,0,57.95,100,18900,0,2018,4,22,5,15,1,0
3.31,4.79,0,0,56.85,100,14400,1,2018,2,19,4,0,0,0
3.46,6.08,0,0,49.46,100,14400,6,2018,9,1,4,0,1,0
4,3.13,0.22,0,78.75,99.85,2700,6,2018,12,22,0,45,1,0
3.06,4.46,0,0,56.57,100,16200,0,2018,7,29,4,30,1,0
3.28,5.11,0,0,54.02,100,2700,4,2018,5,31,0,45,0,0
2.95,4.75,0,0,52.76,100,25200,2,2018,10,9,7,0,0,0
3.71,6.88,0,0,47.46,100,2700,2,2018,10,30,0,45,0,0
2.99,4.32,0,0,56.91,100,13500,1,2018,5,7,3,45,0,0
2.66,5.15,0,0,45.89,100,0,5,2018,9,14,0,0,0,0
3.6,2.45,0.25,0,82.67,99.76,22500,2,2018,12,18,6,15,0,0
3.24,5.04,0,0,54.08,100,10800,0,2018,8,19,3,0,1,0
3.64,4.61,0,0,61.97,100,900,3,2018,4,4,0,15,0,0
2.95,5,0,0,50.81,100,17100,0,2018,11,4,4,45,1,0
2.95,4.61,0,0,53.9,100,24300,1,2018,5,14,6,45,0,0
2.88,4.72,0,0,52.09,100,14400,0,2018,11,11,4,0,1,0
46.04,44.14,0,0.02,72.18,100,31500,2,2018,5,29,8,45,0,0
40.03,29.66,0,0.02,80.35,100,900,3,2018,1,24,0,15,0,0
2.7,4.57,0,0,50.87,100,9900,3,2018,8,1,2,45,0,0
2.92,2.77,0,0,72.55,100,17100,2,2018,4,10,4,45,0,0
2.88,5.26,0,0,48.03,100,20700,3,2018,9,12,5,45,0,0
3.02,3.71,0,0,63.13,100,19800,3,2018,4,4,5,30,0,0
2.92,4.28,0,0,56.36,100,6300,1,2018,7,2,1,45,0,0
2.74,4.9,0,0,48.81,100,17100,6,2018,7,14,4,45,1,0
2.56,4,0,0,53.91,100,14400,2,2018,8,28,4,0,0,0
3.02,5.11,0,0,50.88,100,9000,2,2018,5,29,2,30,0,0
3.35,3.35,0,0,70.71,100,25200,2,2018,1,2,7,0,0,0
2.88,5.18,0,0,48.59,100,8100,5,2018,6,15,2,15,0,0
2.99,5.87,0,0,45.39,100,21600,5,2018,10,19,6,0,0,0
35.46,29.95,0,0.02,76.4,100,29700,4,2018,7,26,8,15,0,0
19.15,20.52,0,0.01,68.23,100,29700,0,2018,5,20,8,15,1,0
37.22,26.21,0,0.02,81.76,100,22500,4,2018,1,25,6,15,0,0
5.94,4.86,0,0,77.4,100,12600,6,2018,2,3,3,30,1,0
3.31,4.57,0,0,58.66,100,30600,0,2018,5,13,8,30,1,0
3.53,3.38,0,0,72.23,100,84600,5,2018,4,13,23,30,0,0
3.82,2.56,0.4,0,83.07,99.46,10800,5,2018,12,28,3,0,0,0
3.13,4,0,0,61.63,100,14400,4,2018,5,3,4,0,0,0
2.77,5.54,0,0,44.72,100,12600,0,2018,8,12,3,30,1,0
3.06,1.91,0.32,0,84.83,99.46,24300,5,2018,12,28,6,45,0,0
4.68,3.85,0,0,77.23,100,3600,6,2018,1,13,1,0,1,0
2.88,4.75,0,0,51.85,100,21600,1,2018,7,30,6,0,0,0
3.6,5.08,0,0,57.82,100,9900,3,2018,5,16,2,45,0,0
4.72,4.82,0,0,69.97,100,25200,5,2018,1,12,7,0,0,0
2.52,4.14,0,0,51.99,100,15300,6,2018,9,29,4,15,1,0
3.64,6.3,0,0,50.03,100,84600,1,2018,10,29,23,30,0,0
2.66,4.93,0,0,47.48,100,9000,4,2018,8,30,2,30,0,0
2.99,3.42,0,0,65.82,100,27000,0,2018,3,25,7,30,1,0
3.89,4.1,0,0,68.83,100,8100,1,2018,2,5,2,15,0,0
2.99,5.22,0,0,49.7,100,18000,4,2018,6,21,5,0,0,0
3.85,3.31,0,0,75.83,100,27000,6,2018,12,22,7,30,1,0
3.49,7.63,0,0,41.6,100,6300,6,2018,10,6,1,45,1,0
3.06,3.64,0,0,64.35,100,11700,4,2018,4,5,3,15,0,0
2.99,4.39,0,0,56.29,100,900,1,2018,5,14,0,15,0,0
4.07,5.83,0,0,57.24,100,13500,4,2018,3,1,3,45,0,0
3.89,3.49,0,0,74.43,100,29700,2,2018,12,25,8,15,0,0
2.77,4.86,0,0,49.52,100,28800,0,2018,5,27,8,0,1,0
2.99,4.64,0,0,54.17,100,10800,1,2018,5,14,3,0,0,0
23.36,19.87,0,0.01,76.17,100,31500,0,2018,6,24,8,45,1,0
3.1,4.68,0,0,55.22,100,12600,4,2018,4,12,3,30,0,0
80.64,61.27,0,0.04,79.62,100,30600,1,2018,4,30,8,30,0,0
3.31,5.9,0,0,48.93,100,12600,3,2018,6,20,3,30,0,0
100.87,63.5,0,0.05,84.63,100,31500,3,2018,3,7,8,45,0,0
3.35,5.08,0,0,55.05,100,21600,4,2018,4,12,6,0,0,0
3.13,4.97,0,0,53.29,100,13500,3,2018,11,14,3,45,0,0
3.53,6.62,0,0,47.05,100,4500,5,2018,9,7,1,15,0,0
3.2,4.54,0,0,57.61,100,27000,4,2018,11,8,7,30,0,0
3.42,2.74,0,0,78.04,100,17100,6,2018,12,8,4,45,1,0
2.63,4.57,0,0,49.88,100,15300,2,2018,10,9,4,15,0,0
2.95,3.1,0,0,68.94,100,22500,3,2018,3,28,6,15,0,0
4.75,8.35,0,0,49.45,100,1800,2,2018,10,16,0,30,0,0
3.02,3.78,0,0,62.42,100,10800,1,2018,3,5,3,0,0,0
3.56,3.96,0,0,66.85,100,16200,2,2018,4,17,4,30,0,0
3.56,2.63,0,0,80.43,100,10800,2,2018,12,11,3,0,0,0
36.68,27.79,0,0.02,79.71,100,30600,0,2018,3,25,8,30,1,0
4.25,4.1,0,0,71.97,100,27000,4,2018,11,29,7,30,0,0
13.79,13.28,0,0.01,72.03,100,28800,3,2018,4,11,8,0,0,0
2.56,4.03,0,0,53.62,100,17100,0,2018,8,26,4,45,1,0
3.6,3.64,0,0,70.32,100,10800,5,2018,5,4,3,0,0,0
2.88,4.79,0,0,51.53,100,26100,6,2018,10,20,7,15,1,0
4.03,2.84,0.32,0,81.74,99.69,25200,4,2018,12,20,7,0,0,0
2.56,4.14,0,0,52.59,100,84600,6,2018,9,29,23,30,1,0
3.02,4.5,0,0,55.73,100,19800,3,2018,11,14,5,30,0,0
2.66,4.18,0,0,53.69,100,3600,0,2018,8,19,1,0,1,0
3.38,4.57,0,0,59.46,100,14400,6,2018,6,30,4,0,1,0
3.92,4.18,0,0,68.41,100,84600,2,2018,3,20,23,30,0,0
5.8,4.75,0,0,77.37,100,5400,2,2018,2,27,1,30,0,0
4.46,3.1,0,0,82.11,100,26100,6,2018,12,1,7,15,1,0
3.06,3.74,0,0,63.32,100,16200,2,2018,5,8,4,30,0,0
4.21,4.03,0,0,72.24,100,6300,1,2018,1,29,1,45,0,0
3.92,6.26,0,0,53.07,100,20700,4,2018,2,15,5,45,0,0
39.85,29.41,0,0.02,80.46,100,14400,2,2018,1,23,4,0,0,0
4.28,7.06,0,0,51.84,100,21600,5,2018,9,14,6,0,0,0
2.7,5.15,0,0,46.43,100,8100,6,2018,9,15,2,15,1,0
2.77,3.64,0,0,60.56,100,21600,0,2018,4,1,6,0,1,0
5.54,5.69,0,0,69.76,100,6300,4,2018,2,1,1,45,0,0
3.06,4.14,0,0,59.44,100,22500,2,2018,7,31,6,15,0,0
6.48,5.26,0,0,77.64,100,19800,6,2018,2,10,5,30,1,0
2.74,1.94,0.22,0,81.61,99.68,81900,0,2018,11,25,22,45,1,0
2.84,5,0,0,49.39,100,0,0,2018,6,3,0,0,1,0
3.06,4.43,0,0,56.83,100,24300,2,2018,5,22,6,45,0,0
25.99,20.48,0,0.01,78.54,100,30600,0,2018,3,11,8,30,1,0
3.46,4.5,0,0,60.95,100,84600,3,2018,5,30,23,30,0,0
34.06,23.04,0,0.02,82.83,100,18000,3,2018,1,24,5,0,0,0
3.96,4.75,0,0,64.03,100,7200,3,2018,3,21,2,0,0,0
2.81,3.85,0,0,58.95,100,21600,0,2018,7,1,6,0,1,0
3.06,5.4,0,0,49.3,100,18000,5,2018,10,12,5,0,0,0
136.48,59.44,0,0.06,91.68,100,32400,5,2018,1,5,9,0,0,0
3.56,2.81,0.14,0,78.49,99.92,3600,6,2018,11,24,1,0,1,0
2.88,5.62,0,0,45.61,100,26100,4,2018,10,11,7,15,0,0
57.17,48.49,0,0.03,76.26,100,31500,3,2018,7,25,8,45,0,0
2.74,5.18,0,0,46.76,100,24300,1,2018,8,13,6,45,0,0
124.31,50.26,0,0.06,92.71,100,32400,3,2018,1,10,9,0,0,0
4,3.67,0,0,73.68,100,21600,3,2018,2,7,6,0,0,0
32,23.26,0.07,0.01,80.89,100,29700,4,2018,12,27,8,15,0,0
3.1,2.56,0,0,77.11,100,19800,0,2018,12,30,5,30,1,0
3.46,4.68,0,0,59.45,100,900,4,2018,8,23,0,15,0,0
4,5.65,0,0,57.78,100,18900,4,2018,11,1,5,15,0,0
7.99,9.9,0,0,62.8,100,27900,4,2018,9,27,7,45,0,0
3.1,3.74,0,0,63.82,100,10800,2,2018,3,20,3,0,0,0
3.67,3.49,0,0,72.47,100,83700,3,2018,5,2,23,15,0,0
2.99,5.47,0,0,47.96,100,18900,1,2018,9,17,5,15,0,0
3.1,5.69,0,0,47.84,100,18900,2,2018,10,23,5,15,0,0
3.46,5.76,0,0,51.49,100,1800,3,2018,8,8,0,30,0,0
3.17,4.79,0,0,55.19,100,16200,4,2018,7,19,4,30,0,0
